DSI,story,model,condition,temp,num_words,lziv
0.7988267540931702,"As the sun began to rise, casting its warm glow over the city, Amanda stepped out of her apartment and took a deep breath. Today was the day she had been waiting for- the day she would finally meet with the publisher and see her book in print. Her nerves were tingling with excitement as she made her way to the café where they were to meet.
When she arrived, she saw him sitting at a table by the window, his eyes scanning the crowd as she approached. He stood up as she reached the table and offered her a warm smile. ""Amanda, it",Vicuna,flash-fiction,Mid,208,0.5763741222936717
0.8062979578971863,"Once upon a time, in a faraway kingdom, there lived a young princess named Isadora. She was known throughout the land for her kindness and beauty, but little did anyone know that she harbored a deep, dark secret. At night, while everyone else slept, Isadora would sneak out of her castle and venture into the forest. There, she would find a hidden clearing where she would meet with fairies and talk to them.
Isadora had always been able to see and communicate with these magical creatures since she was a child. She would often visit their world",Vicuna,flash-fiction,Mid,204,0.598342345726267
0.8068649768829346,"After years of working at the same office job, John was finally able to take a break and go on a vacation. He had always dreamed of traveling the world, but never had the opportunity until now. As he packed his bags, he couldn't help but feel excited about the adventures that awaited him.

The first stop on John's trip was a small village in Africa. He had always wanted to see the majestic animals that roamed the savannah, and this seemed like the perfect place to start. As he arrived at the village, he was greeted by",Vicuna,flash-fiction,Mid,200,0.6229892075946114
0.8110149502754211,"Maria gazed at the old, yellowed photograph of her grandparents' wedding. She wondered how different their lives would have been if the war hadn't broken out. The photo was all she had left of them; they had both perished in the Holocaust. As she placed it back in its protective cover, she felt a sense of longing for the family she never knew.

Maria sighed and decided to visit the nearby cemetery where her grandparents were buried. The gravesite was adorned with fresh flowers and candles, a sign that someone had",Vicuna,flash-fiction,Mid,188,0.615877490000888
0.8147397637367249,"As the sun set over the distant mountains, Emily stood on the edge of the cliff, watching the waves crash against the rocks below. She had come to this spot for solace, for peace, and tonight she needed it more than ever. The weight of her secrets felt heavy, like a noose around her neck. 
She had always been careful, cautious in everything she did. But now, with each passing day, the fear of being discovered consumed her. It was only a matter of time before someone found out, and when they did, there would be no escape.",Vicuna,flash-fiction,Mid,200,0.6083226848306986
0.8099822998046875,"🌃 Flash Fiction 🌡️
In the year 2135, technology had advanced to the point where humans could upload their consciousness into a virtual world. Earth was left uninhabited, a pristine wilderness where machines roamed the deserted cities. The virtual realm was a utopia, a perfect paradise for those who could afford it.
Jake had been uploaded at the age of 35, and now he was 100 years old in the virtual world. He looked out of his window to see the sun setting over a",Vicuna,flash-fiction,Mid,176,0.629066584122198
0.809901773929596,"Once upon a time, in a world not so different from our own, people would gather around to listen to the stories told by the Storyteller. His voice was like honey, and he had a way of making every story come alive with his vivid descriptions and characters that seemed so real. One day, a young girl came to him and asked, ""Why do you tell stories? What is the purpose of it all?""

The Storyteller thought for a moment before replying, ""The purpose of storytelling is to connect people. It allows us to understand each other's experiences, emot",Vicuna,flash-fiction,Mid,210,0.6084004807236512
0.806890070438385,"The old man sat on the porch, watching as the autumn leaves fell from the trees. He sipped his tea, lost in thought. Memories flooded back to him - memories of a life well-lived, full of adventure and excitement.
But now, in his twilight years, all he felt was loneliness. His wife had passed away a few years ago, and his children lived too far away to visit often. He longed for the warmth of companionship, for someone to share his stories with.
As the sun began to set, the old man stood up",Vicuna,flash-fiction,Mid,192,0.6104593648789001
0.8147954940795898,"The storm raged on outside as Sarah sat by the window, her eyes fixed on the pouring rain. Memories flooded her mind; memories of her late husband, Matthew, who passed away six months ago. The pain still lingered, and she often found herself lost in thoughts of what could have been.

Sarah's thoughts were interrupted by a loud knock at the door. Startled, she walked towards it, her heart pounding. As she opened it, she found a strange man standing on her porch, drenched and shivering. His clothes were torn, and",Vicuna,flash-fiction,Mid,184,0.6041512221772348
0.8129962682723999,"Once upon a time, in a small village nestled deep in the forest, there lived a girl named Ava. She was known for her kindness and her love for animals. One day, while picking berries in the woods, she stumbled upon an injured deer. Without hesitation, she scooped it up and brought it home to care for it.
For days, Ava nursed the deer back to health, feeding it special concoctions of herbs and fruits. As the deer grew stronger, it would prance around her small cottage, making a",Vicuna,flash-fiction,Mid,186,0.6223958578267639
