DSI,story,model,condition,temp,num_words,lziv,StoryRater1,StoryRater2,StoryRater3,StoryRater4,StoryRater5,StoryRaterMean,gpt4_rating1,gpt4_rating2,gpt4_rating3,gpt4_avg,gpt4_rating4,gpt4_rating5
0.8264995217323303,Famed monster slayer Gabriel Van Helsing is dispatched to Transylvania to assist the last of the Valerious bloodline in defeating Count Dracula. Anna Valerious reveals that Dracula has formed an unholy alliance with Dr. Frankenstein's monster and is hell-bent on exacting a centuries-old curse on her family.,human,synopsis,Mid,122,0.6226963297508208,,,,,,,,,,,,
0.8077120184898376,"After fighting hard to be independent and happy, heiress Camille Logan finds her life threatened as a result of one of her father’s business deals. Camille isn’t prepared for the length her father will go to protect her, or for the man he hires to do the job.",human,synopsis,Mid,104,0.6309887596913392,,,,,,,,,,,,
0.8046774864196777,"A high school senior, Alex Lainey, has an encounter with mysterious lights that appear over her small town. She soon develops dangerous, supernatural abilities and turns to her childhood friend Sean Terrel. The authorities target them and a chase ensues as officials try to discover the truth behind Alex's transformation.",human,synopsis,Mid,110,0.6590836946748684,,,,,,,,,,,,
0.8256173729896545,"Self-described misanthrope Elle Reid has her protective bubble burst when her 18-year-old granddaughter, Sage, shows up needing help. The two of them go on a day-long journey that causes Elle to come to terms with her past and Sage to confront her future.",human,synopsis,Mid,106,0.6897089239642936,,,,,,,,,,,,
0.8246239423751831,"Leo San Juan, an insecure child of nine years old, lives eternally frightened by horror stories that Nando tells his older brother. Within these stories it is 'The Legend of Nahuala', according to which, an old abandoned Casona is possessed by the spirit of an evil witch known as the Nahuala.",human,synopsis,Mid,118,0.6432744288454325,,,,,,,,,,,,
0.8094265460968018,"Special Agent Jack Carter reluctantly assumes the identity of criminal Archie Moses to take down a powerful South African crime family. But when the real Moses is put in danger, he and Carter must work together to foil the scheme for good.",human,synopsis,Mid,84,0.6872937615798188,,,,,,,,,,,,
0.7879067063331604,"Chris is a once promising high school athlete whose life is turned upside down following a tragic accident. As he tries to maintain a normal life, he takes a job as a janitor at a bank, where he ultimately finds himself caught up in a planned heist.",human,synopsis,Mid,98,0.6723162058136599,,,,,,,,,,,,
0.8168741464614868,"Young Frenchwoman Mathilde searches for the truth about her missing fiancé, lost during World War I, and learns many unexpected things along the way. The love of her life is gone. But she refuses to believe he's gone forever — and she needs to know for sure.",human,synopsis,Mid,100,0.6546687346779554,,,,,,,,,,,,
0.8185411095619202,"Having died unexpectedly, firefighter Ja-hong is taken to the afterlife by 3 afterlife guardians. Only when he passes 7 trials over 49 days and proves he was innocent in human life, he’s able to reincarnate, and his 3 afterlife guardians are by his side to defend him in trial.",human,synopsis,Mid,110,0.5710639843289967,,,,,,,,,,,,
0.8057113885879517,"When a renowned architecture scholar falls suddenly ill during a speaking tour, his son Jin finds himself stranded in Columbus, Indiana - a small Midwestern city celebrated for its many significant modernist buildings. Jin strikes up a friendship with Casey, a young architecture enthusiast who works at the local library.",human,synopsis,Mid,100,0.6749017033470652,,,,,,,,,,,,
0.832203209400177,"Nacho Libre is loosely based on the story of Fray Tormenta (""Friar Storm""), aka Rev. Sergio Gutierrez Benitez, a real-life Mexican Catholic priest who had a 23-year career as a masked luchador. He competed in order to support the orphanage he directed.",human,synopsis,Mid,98,0.6610156040571694,,,,,,,,,,,,
0.8071466088294983,"As the face of law enforcement in the United States for almost 50 years, J. Edgar Hoover was feared and admired, reviled and revered. But behind closed doors, he held secrets that would have destroyed his image, his career, and his life.",human,synopsis,Mid,86,0.6657167298648321,,,,,,,,,,,,
0.8279585838317871,"The true story of Edward Gein, the farmer whose horrific crimes inspired Psycho, The Texas Chainsaw Massacre and The Silence of the Lambs. This is the first film to Gein's tormented upbringing, his adored but domineering mother, and the 1957 arrest uncovered the most bizarre series of murders America has ever seen",human,synopsis,Mid,116,0.6336757151676654,,,,,,,,,,,,
0.8347210884094238,"Garfagnana, Italy, 1347. The handsome servant Masseto, fleeing from his vindictive master, takes shelter in a nunnery where three young nuns, Sister Alessandra, Sister Ginevra and Sister Fernanda, try unsuccessfully to find out what their purpose in life is, a conundrum that each of them faces in different ways.",human,synopsis,Mid,112,0.6402892388785963,,,,,,,,,,,,
0.8238523006439209,"New York in the 1920s. Max Perkins, a literary editor is the first to sign such subsequent literary greats as Ernest Hemingway and F. Scott Fitzgerald. When a sprawling, chaotic 1,000-page manuscript by an unknown writer falls into his hands, Perkins is convinced he has discovered a literary genius.",human,synopsis,Mid,102,0.6409310838061303,,,,,,,,,,,,
0.8180158734321594,"Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in America.",human,synopsis,Mid,88,0.6848386850403954,,,,,,,,,,,,
0.8071809411048889,"Driven by biological excess, a young man and woman search for sexual fulfillment, unaware of each other's existence. Unfortunately, they eventually meet, and the bonding of these two very unusual human beings ends in an explosive and ultimately over-the-top sexual experience, resulting in a truly god awful love story....",human,synopsis,Mid,102,0.6816965369842743,,,,,,,,,,,,
0.8159614205360413,As Luffy and the crew were attacked by several marine warship they were forced to use Coup de Burst to escape. Crash landing on an island the crew decided to explore while some repairment is made. Upon meeting an wax artisan and learning the truth behind the island Luffy offer his help.,human,synopsis,Mid,112,0.6493532064825257,,,,,,,,,,,,
0.8175911903381348,"The four constables Emotionless, Iron Hands , Life Snatcher and ColdBlood are specially skilled in their own individual super powers. When the four constables of the Divine Constabulary investigate a murder in the suburbs, they unexpectedly stumble on clues to the murder of Emotionless's family 15 years ago.",human,synopsis,Mid,108,0.6026883160342743,,,,,,,,,,,,
0.7880226969718933,"Two veteran New York City detectives work to identify the possible connection between a recent murder and a case they believe they solved years ago; is there a serial killer on the loose, and did they perhaps put the wrong person behind bars?",human,synopsis,Mid,86,0.6335263847216824,,,,,,,,,,,,
