DSI,story,model,condition,temp,num_words,lziv
0.8264995217323303,Famed monster slayer Gabriel Van Helsing is dispatched to Transylvania to assist the last of the Valerious bloodline in defeating Count Dracula. Anna Valerious reveals that Dracula has formed an unholy alliance with Dr. Frankenstein's monster and is hell-bent on exacting a centuries-old curse on her family.,IMDB,synopsis,n.a.,122,0.6226963297508208
0.8077120184898376,"After fighting hard to be independent and happy, heiress Camille Logan finds her life threatened as a result of one of her father’s business deals. Camille isn’t prepared for the length her father will go to protect her, or for the man he hires to do the job.",IMDB,synopsis,n.a.,104,0.6309887596913392
0.8046774864196777,"A high school senior, Alex Lainey, has an encounter with mysterious lights that appear over her small town. She soon develops dangerous, supernatural abilities and turns to her childhood friend Sean Terrel. The authorities target them and a chase ensues as officials try to discover the truth behind Alex's transformation.",IMDB,synopsis,n.a.,110,0.6590836946748684
0.8256173729896545,"Self-described misanthrope Elle Reid has her protective bubble burst when her 18-year-old granddaughter, Sage, shows up needing help. The two of them go on a day-long journey that causes Elle to come to terms with her past and Sage to confront her future.",IMDB,synopsis,n.a.,106,0.6897089239642936
0.8246239423751831,"Leo San Juan, an insecure child of nine years old, lives eternally frightened by horror stories that Nando tells his older brother. Within these stories it is 'The Legend of Nahuala', according to which, an old abandoned Casona is possessed by the spirit of an evil witch known as the Nahuala.",IMDB,synopsis,n.a.,118,0.6432744288454325
0.8094265460968018,"Special Agent Jack Carter reluctantly assumes the identity of criminal Archie Moses to take down a powerful South African crime family. But when the real Moses is put in danger, he and Carter must work together to foil the scheme for good.",IMDB,synopsis,n.a.,84,0.6872937615798188
0.7879067063331604,"Chris is a once promising high school athlete whose life is turned upside down following a tragic accident. As he tries to maintain a normal life, he takes a job as a janitor at a bank, where he ultimately finds himself caught up in a planned heist.",IMDB,synopsis,n.a.,98,0.6723162058136599
0.8168741464614868,"Young Frenchwoman Mathilde searches for the truth about her missing fiancé, lost during World War I, and learns many unexpected things along the way. The love of her life is gone. But she refuses to believe he's gone forever — and she needs to know for sure.",IMDB,synopsis,n.a.,100,0.6546687346779554
0.8185411095619202,"Having died unexpectedly, firefighter Ja-hong is taken to the afterlife by 3 afterlife guardians. Only when he passes 7 trials over 49 days and proves he was innocent in human life, he’s able to reincarnate, and his 3 afterlife guardians are by his side to defend him in trial.",IMDB,synopsis,n.a.,110,0.5710639843289967
0.8057113885879517,"When a renowned architecture scholar falls suddenly ill during a speaking tour, his son Jin finds himself stranded in Columbus, Indiana - a small Midwestern city celebrated for its many significant modernist buildings. Jin strikes up a friendship with Casey, a young architecture enthusiast who works at the local library.",IMDB,synopsis,n.a.,100,0.6749017033470652
